n_layer,n_head,n_embd,batch_size_from,batch_size_to,delta_batch_size,loss_from,loss_to,delta_loss,time_s_from,time_s_to,delta_time_seconds,delta_time_hours,run_from,run_to,loss_improved,time_increased
8,8,32,64.0,128.0,64.0,0.000650982488878,0.0007900382915977,0.00013905580271970008,33028.0,78056.0,45028.0,12.507777777777777,n_layer8_n_head8_n_embd32_batch_size64,n_layer8_n_head8_n_embd32,False,True
8,2,32,64.0,128.0,64.0,0.0006355783116305,0.0007956948538776,0.00016011654224710006,121646.0,83286.0,-38360.0,-10.655555555555555,n_layer8_n_head2_n_embd32_batch_size64,n_layer8_n_head2_n_embd32,False,False
8,4,32,64.0,128.0,64.0,0.0006311004399321,0.0008000844973139,0.0001689840573818,115597.0,84906.0,-30691.0,-8.525277777777777,best,n_layer8_n_head4_n_embd32,False,False
8,4,32,64.0,128.0,64.0,0.0006311004399321,0.0008000844973139,0.0001689840573818,115597.0,84906.0,-30691.0,-8.525277777777777,n_layer8_n_head4_n_embd32_batch_size64,n_layer8_n_head4_n_embd32,False,False
4,8,32,64.0,128.0,64.0,0.0008211263557313,0.0011110654158983,0.000289939060167,68334.0,43428.0,-24906.0,-6.918333333333333,n_layer4_n_head8_n_embd32_batch_size64,n_layer4_n_head8_n_embd32,False,False
4,4,32,64.0,128.0,64.0,0.000808830045571,0.0011013616458512,0.00029253160028019996,63591.0,47452.0,-16139.0,-4.483055555555556,n_layer4_n_head4_n_embd32_batch_size64,n_layer4_n_head4_n_embd32,False,False
4,2,32,64.0,128.0,64.0,0.0008111719362204,0.0011109187616966,0.0002997468254761999,68532.0,46755.0,-21777.0,-6.049166666666666,n_layer4_n_head2_n_embd32_batch_size64,n_layer4_n_head2_n_embd32,False,False
8,2,16,64.0,128.0,64.0,0.0009772960693226,0.0015104442718438,0.0005331482025211999,114806.0,61163.0,-53643.0,-14.900833333333333,n_layer8_n_head2_n_embd16_batch_size64,n_layer8_n_head2_n_embd16,False,False
8,8,16,64.0,128.0,64.0,0.0009879481513053,0.0015286377747543,0.0005406896234489999,53798.0,64646.0,10848.0,3.013333333333333,n_layer8_n_head8_n_embd16_batch_size64,n_layer8_n_head8_n_embd16,False,True
8,4,16,64.0,128.0,64.0,0.0009703330797492,0.0015192430582828,0.0005489099785336001,103655.0,69779.0,-33876.0,-9.41,n_layer8_n_head4_n_embd16_batch_size64,n_layer8_n_head4_n_embd16,False,False
4,8,16,64.0,128.0,64.0,0.0013330662477528,0.0027747251442633,0.0014416588965105001,57308.0,36678.0,-20630.0,-5.730555555555555,n_layer4_n_head8_n_embd16_batch_size64,n_layer4_n_head8_n_embd16,False,False
4,4,16,64.0,128.0,64.0,0.001341964743915,0.0028103493968956,0.0014683846529805998,61997.0,38008.0,-23989.0,-6.663611111111111,n_layer4_n_head4_n_embd16_batch_size64,n_layer4_n_head4_n_embd16,False,False
4,2,16,64.0,128.0,64.0,0.0013046124950051,0.0028038018499501,0.0014991893549450002,61927.0,38009.0,-23918.0,-6.643888888888889,n_layer4_n_head2_n_embd16_batch_size64,n_layer4_n_head2_n_embd16,False,False
