n_layer,n_head,batch_size,n_embd_from,n_embd_to,delta_n_embd,loss_from,loss_to,delta_loss,time_s_from,time_s_to,delta_time_seconds,delta_time_hours,run_from,run_to,loss_improved,time_increased
4,4,128,16.0,32.0,16.0,0.0028103493968956,0.0011013616458512,-0.0017089877510444,38008.0,47452.0,9444.0,2.6233333333333335,n_layer4_n_head4_n_embd16,n_layer4_n_head4_n_embd32,True,True
4,2,128,16.0,32.0,16.0,0.0028038018499501,0.0011109187616966,-0.0016928830882535003,38009.0,46755.0,8746.0,2.4294444444444445,n_layer4_n_head2_n_embd16,n_layer4_n_head2_n_embd32,True,True
4,8,128,16.0,32.0,16.0,0.0027747251442633,0.0011110654158983,-0.001663659728365,36678.0,43428.0,6750.0,1.875,n_layer4_n_head8_n_embd16,n_layer4_n_head8_n_embd32,True,True
8,8,128,16.0,32.0,16.0,0.0015286377747543,0.0007900382915977,-0.0007385994831566,64646.0,78056.0,13410.0,3.725,n_layer8_n_head8_n_embd16,n_layer8_n_head8_n_embd32,True,True
8,4,128,16.0,32.0,16.0,0.0015192430582828,0.0008000844973139,-0.0007191585609689,69779.0,84906.0,15127.0,4.201944444444444,n_layer8_n_head4_n_embd16,n_layer8_n_head4_n_embd32,True,True
8,2,128,16.0,32.0,16.0,0.0015104442718438,0.0007956948538776,-0.0007147494179661999,61163.0,83286.0,22123.0,6.145277777777777,n_layer8_n_head2_n_embd16,n_layer8_n_head2_n_embd32,True,True
4,4,64,16.0,32.0,16.0,0.001341964743915,0.000808830045571,-0.0005331346983440001,61997.0,63591.0,1594.0,0.44277777777777777,n_layer4_n_head4_n_embd16_batch_size64,n_layer4_n_head4_n_embd32_batch_size64,True,True
4,8,64,16.0,32.0,16.0,0.0013330662477528,0.0008211263557313,-0.0005119398920215,57308.0,68334.0,11026.0,3.062777777777778,n_layer4_n_head8_n_embd16_batch_size64,n_layer4_n_head8_n_embd32_batch_size64,True,True
4,2,64,16.0,32.0,16.0,0.0013046124950051,0.0008111719362204,-0.0004934405587847,61927.0,68532.0,6605.0,1.8347222222222221,n_layer4_n_head2_n_embd16_batch_size64,n_layer4_n_head2_n_embd32_batch_size64,True,True
8,8,64,16.0,32.0,16.0,0.0009879481513053,0.0006299590750131,-0.00035798907629220006,53798.0,37951.0,-15847.0,-4.401944444444444,n_layer8_n_head8_n_embd16_batch_size64,n_layer8_n_head8_n_embd32_batch_size64,True,False
8,2,64,16.0,32.0,16.0,0.0009772960693226,0.0006355783116305,-0.0003417177576921001,114806.0,121646.0,6840.0,1.9,n_layer8_n_head2_n_embd16_batch_size64,n_layer8_n_head2_n_embd32_batch_size64,True,True
8,4,64,16.0,32.0,16.0,0.0009703330797492,0.0006311004399321,-0.0003392326398171,103655.0,115597.0,11942.0,3.317222222222222,n_layer8_n_head4_n_embd16_batch_size64,n_layer8_n_head4_n_embd32_batch_size64,True,True
