n_layer,n_embd,batch_size,n_head_from,n_head_to,delta_n_head,loss_from,loss_to,delta_loss,time_s_from,time_s_to,delta_time_seconds,delta_time_hours,run_from,run_to,loss_improved,time_increased
4,16,128,4.0,8.0,4.0,0.0028103493968956,0.0027747251442633,-3.562425263229979e-05,38008.0,36678.0,-1330.0,-0.36944444444444446,n_layer4_n_head4_n_embd16,n_layer4_n_head8_n_embd16,True,False
4,16,128,2.0,8.0,6.0,0.0028038018499501,0.0027747251442633,-2.907670568680007e-05,38009.0,36678.0,-1331.0,-0.36972222222222223,n_layer4_n_head2_n_embd16,n_layer4_n_head8_n_embd16,True,False
8,32,128,4.0,8.0,4.0,0.0008000844973139,0.0007900382915977,-1.0046205716199926e-05,84906.0,78056.0,-6850.0,-1.9027777777777777,n_layer8_n_head4_n_embd32,n_layer8_n_head8_n_embd32,True,False
4,32,128,2.0,4.0,2.0,0.0011109187616966,0.0011013616458512,-9.557115845399995e-06,46755.0,47452.0,697.0,0.19361111111111112,n_layer4_n_head2_n_embd32,n_layer4_n_head4_n_embd32,True,True
4,16,64,4.0,8.0,4.0,0.001341964743915,0.0013330662477528,-8.898496162200106e-06,61997.0,57308.0,-4689.0,-1.3025,n_layer4_n_head4_n_embd16_batch_size64,n_layer4_n_head8_n_embd16_batch_size64,True,False
8,16,64,2.0,4.0,2.0,0.0009772960693226,0.0009703330797492,-6.962989573400117e-06,114806.0,103655.0,-11151.0,-3.0975,n_layer8_n_head2_n_embd16_batch_size64,n_layer8_n_head4_n_embd16_batch_size64,True,False
8,32,128,2.0,8.0,6.0,0.0007956948538776,0.0007900382915977,-5.656562279899983e-06,83286.0,78056.0,-5230.0,-1.4527777777777777,n_layer8_n_head2_n_embd32,n_layer8_n_head8_n_embd32,True,False
8,32,64,2.0,8.0,6.0,0.0006355783116305,0.0006299590750131,-5.619236617399937e-06,121646.0,37951.0,-83695.0,-23.24861111111111,n_layer8_n_head2_n_embd32_batch_size64,n_layer8_n_head8_n_embd32_batch_size64,True,False
8,32,64,2.0,4.0,2.0,0.0006355783116305,0.0006311004399321,-4.477871698400004e-06,121646.0,115597.0,-6049.0,-1.6802777777777778,n_layer8_n_head2_n_embd32_batch_size64,n_layer8_n_head4_n_embd32_batch_size64,True,False
4,32,64,2.0,4.0,2.0,0.0008111719362204,0.000808830045571,-2.34189064940004e-06,68532.0,63591.0,-4941.0,-1.3725,n_layer4_n_head2_n_embd32_batch_size64,n_layer4_n_head4_n_embd32_batch_size64,True,False
8,32,64,4.0,8.0,4.0,0.0006311004399321,0.0006299590750131,-1.1413649189999332e-06,115597.0,37951.0,-77646.0,-21.56833333333333,n_layer8_n_head4_n_embd32_batch_size64,n_layer8_n_head8_n_embd32_batch_size64,True,False
4,32,128,2.0,8.0,6.0,0.0011109187616966,0.0011110654158983,1.4665420170010407e-07,46755.0,43428.0,-3327.0,-0.9241666666666667,n_layer4_n_head2_n_embd32,n_layer4_n_head8_n_embd32,False,False
8,32,128,2.0,4.0,2.0,0.0007956948538776,0.0008000844973139,4.389643436299943e-06,83286.0,84906.0,1620.0,0.45,n_layer8_n_head2_n_embd32,n_layer8_n_head4_n_embd32,False,True
4,16,128,2.0,4.0,2.0,0.0028038018499501,0.0028103493968956,6.547546945499718e-06,38009.0,38008.0,-1.0,-0.0002777777777777778,n_layer4_n_head2_n_embd16,n_layer4_n_head4_n_embd16,False,False
8,16,128,2.0,4.0,2.0,0.0015104442718438,0.0015192430582828,8.798786439000042e-06,61163.0,69779.0,8616.0,2.3933333333333335,n_layer8_n_head2_n_embd16,n_layer8_n_head4_n_embd16,False,True
8,16,128,4.0,8.0,4.0,0.0015192430582828,0.0015286377747543,9.394716471499993e-06,69779.0,64646.0,-5133.0,-1.4258333333333333,n_layer8_n_head4_n_embd16,n_layer8_n_head8_n_embd16,False,False
4,32,128,4.0,8.0,4.0,0.0011013616458512,0.0011110654158983,9.703770047100099e-06,47452.0,43428.0,-4024.0,-1.1177777777777778,n_layer4_n_head4_n_embd32,n_layer4_n_head8_n_embd32,False,False
4,32,64,2.0,8.0,6.0,0.0008111719362204,0.0008211263557313,9.954419510900037e-06,68532.0,68334.0,-198.0,-0.055,n_layer4_n_head2_n_embd32_batch_size64,n_layer4_n_head8_n_embd32_batch_size64,False,False
8,16,64,2.0,8.0,6.0,0.0009772960693226,0.0009879481513053,1.0652081982700026e-05,114806.0,53798.0,-61008.0,-16.946666666666665,n_layer8_n_head2_n_embd16_batch_size64,n_layer8_n_head8_n_embd16_batch_size64,False,False
4,32,64,4.0,8.0,4.0,0.000808830045571,0.0008211263557313,1.2296310160300077e-05,63591.0,68334.0,4743.0,1.3175,n_layer4_n_head4_n_embd32_batch_size64,n_layer4_n_head8_n_embd32_batch_size64,False,True
8,16,64,4.0,8.0,4.0,0.0009703330797492,0.0009879481513053,1.7615071556100143e-05,103655.0,53798.0,-49857.0,-13.849166666666667,n_layer8_n_head4_n_embd16_batch_size64,n_layer8_n_head8_n_embd16_batch_size64,False,False
8,16,128,2.0,8.0,6.0,0.0015104442718438,0.0015286377747543,1.8193502910500035e-05,61163.0,64646.0,3483.0,0.9675,n_layer8_n_head2_n_embd16,n_layer8_n_head8_n_embd16,False,True
4,16,64,2.0,8.0,6.0,0.0013046124950051,0.0013330662477528,2.845375274770001e-05,61927.0,57308.0,-4619.0,-1.2830555555555556,n_layer4_n_head2_n_embd16_batch_size64,n_layer4_n_head8_n_embd16_batch_size64,False,False
