n_head,n_embd,batch_size,n_layer_from,n_layer_to,delta_n_layer,loss_from,loss_to,delta_loss,time_s_from,time_s_to,delta_time_seconds,delta_time_hours,run_from,run_to,loss_improved,time_increased
2,16,128,4.0,8.0,4.0,0.0028038018499501,0.0015104442718438,-0.0012933575781063002,38009.0,61163.0,23154.0,6.431666666666667,n_layer4_n_head2_n_embd16,n_layer8_n_head2_n_embd16,True,True
4,16,128,4.0,8.0,4.0,0.0028103493968956,0.0015192430582828,-0.0012911063386127999,38008.0,69779.0,31771.0,8.825277777777778,n_layer4_n_head4_n_embd16,n_layer8_n_head4_n_embd16,True,True
8,16,128,4.0,8.0,4.0,0.0027747251442633,0.0015286377747543,-0.0012460873695090001,36678.0,64646.0,27968.0,7.768888888888889,n_layer4_n_head8_n_embd16,n_layer8_n_head8_n_embd16,True,True
4,16,64,4.0,8.0,4.0,0.001341964743915,0.0009703330797492,-0.00037163166416580014,61997.0,103655.0,41658.0,11.571666666666667,n_layer4_n_head4_n_embd16_batch_size64,n_layer8_n_head4_n_embd16_batch_size64,True,True
8,16,64,4.0,8.0,4.0,0.0013330662477528,0.0009879481513053,-0.0003451180964474999,57308.0,53798.0,-3510.0,-0.975,n_layer4_n_head8_n_embd16_batch_size64,n_layer8_n_head8_n_embd16_batch_size64,True,False
2,16,64,4.0,8.0,4.0,0.0013046124950051,0.0009772960693226,-0.0003273164256824999,61927.0,114806.0,52879.0,14.688611111111111,n_layer4_n_head2_n_embd16_batch_size64,n_layer8_n_head2_n_embd16_batch_size64,True,True
8,32,128,4.0,8.0,4.0,0.0011110654158983,0.0007900382915977,-0.00032102712430059997,43428.0,78056.0,34628.0,9.61888888888889,n_layer4_n_head8_n_embd32,n_layer8_n_head8_n_embd32,True,True
2,32,128,4.0,8.0,4.0,0.0011109187616966,0.0007956948538776,-0.0003152239078189999,46755.0,83286.0,36531.0,10.1475,n_layer4_n_head2_n_embd32,n_layer8_n_head2_n_embd32,True,True
4,32,128,4.0,8.0,4.0,0.0011013616458512,0.0008000844973139,-0.00030127714853729994,47452.0,84906.0,37454.0,10.403888888888888,n_layer4_n_head4_n_embd32,n_layer8_n_head4_n_embd32,True,True
4,32,64,4.0,8.0,4.0,0.000808830045571,0.0006311004399321,-0.00017772960563889998,63591.0,115597.0,52006.0,14.446111111111112,n_layer4_n_head4_n_embd32_batch_size64,best,True,True
4,32,64,4.0,8.0,4.0,0.000808830045571,0.0006311004399321,-0.00017772960563889998,63591.0,115597.0,52006.0,14.446111111111112,n_layer4_n_head4_n_embd32_batch_size64,n_layer8_n_head4_n_embd32_batch_size64,True,True
2,32,64,4.0,8.0,4.0,0.0008111719362204,0.0006355783116305,-0.00017559362458990002,68532.0,121646.0,53114.0,14.75388888888889,n_layer4_n_head2_n_embd32_batch_size64,n_layer8_n_head2_n_embd32_batch_size64,True,True
8,32,64,4.0,8.0,4.0,0.0008211263557313,0.000650982488878,-0.00017014386685330007,68334.0,33028.0,-35306.0,-9.807222222222222,n_layer4_n_head8_n_embd32_batch_size64,n_layer8_n_head8_n_embd32_batch_size64,True,False
