run,n_layer,n_head,n_embd,batch_size,best_val_loss,train_time,train_time_seconds
n_layer4_n_head2_n_embd16,4,2,16,128,0.002803801849950105,0d 10h 33m 29s,38009
n_layer4_n_head2_n_embd16_batch_size64,4,2,16,64,0.0013046124950051308,0d 17h 12m  7s,61927
n_layer4_n_head2_n_embd32,4,2,32,128,0.0011109187616966665,0d 12h 59m 15s,46755
n_layer4_n_head2_n_embd32_batch_size64,4,2,32,64,0.0008111719362204894,0d 19h  2m 12s,68532
n_layer4_n_head4_n_embd16,4,4,16,128,0.0028103493968956172,0d 10h 33m 28s,38008
n_layer4_n_head4_n_embd16_batch_size64,4,4,16,64,0.001341964743915014,0d 17h 13m 17s,61997
n_layer4_n_head4_n_embd32,4,4,32,128,0.0011013616458512843,0d 13h 10m 52s,47452
n_layer4_n_head4_n_embd32_batch_size64,4,4,32,64,0.0008088300455710851,0d 17h 39m 51s,63591
n_layer4_n_head8_n_embd16,4,8,16,128,0.002774725144263357,0d 10h 11m 18s,36678
n_layer4_n_head8_n_embd16_batch_size64,4,8,16,64,0.0013330662477528676,0d 15h 55m  8s,57308
n_layer4_n_head8_n_embd32,4,8,32,128,0.001111065415898338,0d 12h  3m 48s,43428
n_layer4_n_head8_n_embd32_batch_size64,4,8,32,64,0.0008211263557313941,0d 18h 58m 54s,68334
n_layer8_n_head2_n_embd16,8,2,16,128,0.0015104442718438804,0d 16h 59m 23s,61163
n_layer8_n_head2_n_embd16_batch_size64,8,2,16,64,0.0009772960693226196,1d  7h 53m 26s,114806
n_layer8_n_head2_n_embd32,8,2,32,128,0.0007956948538776487,0d 23h  8m  6s,83286
n_layer8_n_head2_n_embd32_batch_size64,8,2,32,64,0.0006355783116305247,1d  9h 47m 26s,121646
n_layer8_n_head4_n_embd16,8,4,16,128,0.001519243058282882,0d 19h 22m 59s,69779
n_layer8_n_head4_n_embd16_batch_size64,8,4,16,64,0.0009703330797492526,1d  4h 47m 35s,103655
n_layer8_n_head4_n_embd32,8,4,32,128,0.0008000844973139465,0d 23h 35m  6s,84906
n_layer8_n_head4_n_embd32_batch_size64,8,4,32,64,0.0006311004399321973,1d  8h  6m 37s,115597
n_layer8_n_head8_n_embd16,8,8,16,128,0.0015286377747543156,0d 17h 57m 26s,64646
n_layer8_n_head8_n_embd16_batch_size64,8,8,16,64,0.0009879481513053179,0d 14h 56m 38s,53798
n_layer8_n_head8_n_embd32,8,8,32,128,0.0007900382915977389,0d 21h 40m 56s,78056
n_layer8_n_head8_n_embd32_batch_size64,8,8,32,64,0.0006299590750131756,0d 10h 32m 31s,37951
