run,best_val_loss,_time_seconds,_time_hours,n_layer,n_head,n_embd,batch_size,head,layer
n_layer8_n_head8_n_embd32_batch_size64,0.0006299590750131,37951.0,10.541944444444445,8,8,32,64,8,8
n_layer8_n_head4_n_embd32_batch_size64,0.0006311004399321,115597.0,32.110277777777775,8,4,32,64,4,8
n_layer8_n_head2_n_embd32_batch_size64,0.0006355783116305,121646.0,33.79055555555556,8,2,32,64,2,8
n_layer8_n_head8_n_embd32,0.0007900382915977,78056.0,21.682222222222222,8,8,32,128,8,8
n_layer8_n_head2_n_embd32,0.0007956948538776,83286.0,23.135,8,2,32,128,2,8
n_layer8_n_head4_n_embd32,0.0008000844973139,84906.0,23.585,8,4,32,128,4,8
n_layer4_n_head4_n_embd32_batch_size64,0.000808830045571,63591.0,17.664166666666667,4,4,32,64,4,4
n_layer4_n_head2_n_embd32_batch_size64,0.0008111719362204,68532.0,19.036666666666665,4,2,32,64,2,4
n_layer4_n_head8_n_embd32_batch_size64,0.0008211263557313,68334.0,18.981666666666666,4,8,32,64,8,4
n_layer8_n_head4_n_embd16_batch_size64,0.0009703330797492,103655.0,28.793055555555554,8,4,16,64,4,8
n_layer8_n_head2_n_embd16_batch_size64,0.0009772960693226,114806.0,31.890555555555554,8,2,16,64,2,8
n_layer8_n_head8_n_embd16_batch_size64,0.0009879481513053,53798.0,14.943888888888889,8,8,16,64,8,8
n_layer4_n_head4_n_embd32,0.0011013616458512,47452.0,13.181111111111111,4,4,32,128,4,4
n_layer4_n_head2_n_embd32,0.0011109187616966,46755.0,12.9875,4,2,32,128,2,4
n_layer4_n_head8_n_embd32,0.0011110654158983,43428.0,12.063333333333333,4,8,32,128,8,4
n_layer4_n_head2_n_embd16_batch_size64,0.0013046124950051,61927.0,17.201944444444443,4,2,16,64,2,4
n_layer4_n_head8_n_embd16_batch_size64,0.0013330662477528,57308.0,15.918888888888889,4,8,16,64,8,4
n_layer4_n_head4_n_embd16_batch_size64,0.001341964743915,61997.0,17.22138888888889,4,4,16,64,4,4
n_layer8_n_head2_n_embd16,0.0015104442718438,61163.0,16.989722222222223,8,2,16,128,2,8
n_layer8_n_head4_n_embd16,0.0015192430582828,69779.0,19.383055555555554,8,4,16,128,4,8
n_layer8_n_head8_n_embd16,0.0015286377747543,64646.0,17.95722222222222,8,8,16,128,8,8
n_layer4_n_head8_n_embd16,0.0027747251442633,36678.0,10.188333333333333,4,8,16,128,8,4
n_layer4_n_head2_n_embd16,0.0028038018499501,38009.0,10.558055555555555,4,2,16,128,2,4
n_layer4_n_head4_n_embd16,0.0028103493968956,38008.0,10.557777777777778,4,4,16,128,4,4
