run,best_val_loss,_time_seconds,_time_hours,n_layer,n_head,n_embd,batch_size,_loss_scaled,_time_scaled,_tradeoff_score
n_layer8_n_head8_n_embd32_batch_size64,0.0006299590750131,37951.0,10.541944444444445,8,8,32,64,0.0,0.01498211091234347,0.0037455277280858674
n_layer4_n_head4_n_embd32_batch_size64,0.000808830045571,63591.0,17.664166666666667,4,4,32,64,0.08203621560907809,0.31674277375011767,0.14071285514433798
n_layer4_n_head2_n_embd32_batch_size64,0.0008111719362204,68532.0,19.036666666666665,4,2,32,64,0.08311028506622836,0.37489407777045475,0.15605623324228496
n_layer4_n_head8_n_embd32_batch_size64,0.0008211263557313,68334.0,18.981666666666666,4,8,32,64,0.08767571512294665,0.3725637887204595,0.15889773352232486
n_layer8_n_head8_n_embd16_batch_size64,0.0009879481513053,53798.0,14.943888888888889,8,8,16,64,0.16418577568401624,0.20148761886827982,0.17351123648008213
n_layer8_n_head8_n_embd32,0.0007900382915977,78056.0,21.682222222222222,8,8,32,128,0.0734176880983361,0.4869833349025515,0.17680909979938997
n_layer4_n_head8_n_embd32,0.0011110654158983,43428.0,12.063333333333333,4,8,32,128,0.22065147513121577,0.07944167215893042,0.18534902438814443
n_layer4_n_head4_n_embd32,0.0011013616458512,47452.0,13.181111111111111,4,4,32,128,0.21620100131021566,0.1268006779022691,0.19385092045822902
n_layer8_n_head2_n_embd32,0.0007956948538776,83286.0,23.135,8,2,32,128,0.07601197693879298,0.5485359194049525,0.19414296255533287
n_layer4_n_head2_n_embd32,0.0011109187616966,46755.0,12.9875,4,2,32,128,0.2205842146044063,0.11859758968082101,0.19508755837350997
n_layer8_n_head4_n_embd32,0.0008000844973139,84906.0,23.585,8,4,32,128,0.07802521438176147,0.5676019207230958,0.20041939096709505
n_layer8_n_head4_n_embd32_batch_size64,0.0006311004399321,115597.0,32.110277777777775,8,4,32,64,0.0005234681641837891,0.9288084926089822,0.2325947242753834
n_layer8_n_head2_n_embd32_batch_size64,0.0006355783116305,121646.0,33.79055555555556,8,2,32,64,0.0025771700419897365,1.0,0.2519328775314923
n_layer4_n_head8_n_embd16_batch_size64,0.0013330662477528,57308.0,15.918888888888889,4,8,16,64,0.3224684890972425,0.24279728839092365,0.30255068892066284
n_layer4_n_head2_n_embd16_batch_size64,0.0013046124950051,61927.0,17.201944444444443,4,2,16,64,0.30941864546964204,0.29715893042086433,0.3063537167074476
n_layer8_n_head4_n_embd16_batch_size64,0.0009703330797492,103655.0,28.793055555555554,8,4,16,64,0.15610691412454478,0.7882614631390641,0.31414555137817457
n_layer4_n_head4_n_embd16_batch_size64,0.001341964743915,61997.0,17.22138888888889,4,4,16,64,0.3265496373544579,0.297982769983994,0.31940792051184197
n_layer8_n_head2_n_embd16_batch_size64,0.0009772960693226,114806.0,31.890555555555554,8,2,16,64,0.15930037426033752,0.9194991055456172,0.34935005708165745
n_layer8_n_head2_n_embd16,0.0015104442718438,61163.0,16.989722222222223,8,2,16,128,0.4038199894734943,0.288167310046135,0.3749068196166545
n_layer8_n_head8_n_embd16,0.0015286377747543,64646.0,17.95722222222222,8,8,16,128,0.41216413901768795,0.3291592128801431,0.3914129074833017
n_layer8_n_head4_n_embd16,0.0015192430582828,69779.0,19.383055555555554,8,4,16,128,0.4078554075134182,0.3895701911307786,0.40328410341775833
n_layer4_n_head8_n_embd16,0.0027747251442633,36678.0,10.188333333333333,4,8,16,128,0.9836615250605485,0.0,0.7377461437954114
n_layer4_n_head2_n_embd16,0.0028038018499501,38009.0,10.558055555555555,4,2,16,128,0.9969970757621751,0.015664720836079466,0.7516639870306512
n_layer4_n_head4_n_embd16,0.0028103493968956,38008.0,10.557777777777778,4,4,16,128,1.0,0.015652951699463326,0.7539132379248659
