run,best_val_loss,test_loss,train_time_seconds,num_params,summary_path,error
biasFalse_lossTimeWeightedMSE_sched_enabledTrue_smoothnessFalse,0.0005035365938965697,25576.578125,40475.14406847954,99393,runs\sweeps_4\biasFalse_lossTimeWeightedMSE_sched_enabledTrue_smoothnessFalse\summary.json,
biasFalse_lossTimeWeightedMSE_sched_enabledFalse_smoothnessTrue,0.0005559538076340687,27059.542578125,40117.80587553978,99393,runs\sweeps_4\biasFalse_lossTimeWeightedMSE_sched_enabledFalse_smoothnessTrue\summary.json,
biasFalse_lossTimeWeightedMSE_sched_enabledTrue_smoothnessTrue,0.0005564563616644591,31858.371875,39711.887890815735,99393,runs\sweeps_4\biasFalse_lossTimeWeightedMSE_sched_enabledTrue_smoothnessTrue\summary.json,
biasTrue_lossTimeWeightedMSE_sched_enabledTrue_smoothnessTrue,0.0005643962940666825,27145.215625,46605.89219546318,102241,runs\sweeps_4\biasTrue_lossTimeWeightedMSE_sched_enabledTrue_smoothnessTrue\summary.json,
biasTrue_lossTimeWeightedMSE_sched_enabledTrue_smoothnessFalse,0.0005672355327988043,22572.71640625,36806.444368839264,102241,runs\sweeps_4\biasTrue_lossTimeWeightedMSE_sched_enabledTrue_smoothnessFalse\summary.json,
biasTrue_lossTimeWeightedMSE_sched_enabledFalse_smoothnessTrue,0.0005952017090748996,24122.73984375,41197.44647669792,102241,runs\sweeps_4\biasTrue_lossTimeWeightedMSE_sched_enabledFalse_smoothnessTrue\summary.json,
biasFalse_lossMSE_sched_enabledTrue_smoothnessFalse,0.0007824540516594425,31919.671875,39884.20843696594,99393,runs\sweeps_4\biasFalse_lossMSE_sched_enabledTrue_smoothnessFalse\summary.json,
biasTrue_lossMSE_sched_enabledTrue_smoothnessFalse,0.0007940210198285058,29692.78671875,41251.41250991821,102241,runs\sweeps_4\biasTrue_lossMSE_sched_enabledTrue_smoothnessFalse\summary.json,
biasFalse_lossMSE_sched_enabledFalse_smoothnessTrue,0.0008563870869693346,22014.50390625,39383.71568584442,99393,runs\sweeps_4\biasFalse_lossMSE_sched_enabledFalse_smoothnessTrue\summary.json,
biasFalse_lossMSE_sched_enabledTrue_smoothnessTrue,0.0008745165323489346,29536.325,40163.48922228813,99393,runs\sweeps_4\biasFalse_lossMSE_sched_enabledTrue_smoothnessTrue\summary.json,
biasTrue_lossMSE_sched_enabledTrue_smoothnessTrue,0.0008900381144485436,27563.26171875,40984.85347485542,102241,runs\sweeps_4\biasTrue_lossMSE_sched_enabledTrue_smoothnessTrue\summary.json,
biasTrue_lossMSE_sched_enabledFalse_smoothnessTrue,0.0008927567760110833,22503.027734375,40781.35502195358,102241,runs\sweeps_4\biasTrue_lossMSE_sched_enabledFalse_smoothnessTrue\summary.json,
