name,score,n_layer,n_head,n_embd,lr,patience,max_iters,batch_size
n_layer4_n_head2_n_embd16_lr0.0001_patience20_max_iters500_batch_size64,0.009749048855155706,4,2,16,0.0001,20,500,64
n_layer4_n_head2_n_embd16_lr0.0001_patience20_max_iters500_batch_size128,0.009941586526110768,4,2,16,0.0001,20,500,128
n_layer4_n_head2_n_embd16_lr5e-05_patience20_max_iters500_batch_size64,0.009947677492164075,4,2,16,5e-05,20,500,64
n_layer4_n_head2_n_embd16_lr5e-05_patience20_max_iters500_batch_size128,0.010169596876949072,4,2,16,5e-05,20,500,128
n_layer4_n_head2_n_embd16_lr1e-05_patience20_max_iters500_batch_size64,0.010805922909639776,4,2,16,1e-05,20,500,64
n_layer4_n_head2_n_embd16_lr1e-05_patience20_max_iters500_batch_size128,0.011376367416232824,4,2,16,1e-05,20,500,128
n_layer4_n_head2_n_embd32_lr0.0001_patience20_max_iters500_batch_size64,0.009838068624958396,4,2,32,0.0001,20,500,64
n_layer4_n_head2_n_embd32_lr0.0001_patience20_max_iters500_batch_size128,0.010259926784783602,4,2,32,0.0001,20,500,128
n_layer4_n_head2_n_embd32_lr5e-05_patience20_max_iters500_batch_size64,0.010336069390177727,4,2,32,5e-05,20,500,64
n_layer4_n_head2_n_embd32_lr5e-05_patience20_max_iters500_batch_size128,0.010355595964938402,4,2,32,5e-05,20,500,128
n_layer4_n_head2_n_embd32_lr1e-05_patience20_max_iters500_batch_size64,0.012166492524556816,4,2,32,1e-05,20,500,64
n_layer4_n_head2_n_embd32_lr1e-05_patience20_max_iters500_batch_size128,0.013622313505038619,4,2,32,1e-05,20,500,128
n_layer4_n_head4_n_embd16_lr0.0001_patience20_max_iters500_batch_size64,0.009749015443958342,4,4,16,0.0001,20,500,64
n_layer4_n_head4_n_embd16_lr0.0001_patience20_max_iters500_batch_size128,0.009941559983417392,4,4,16,0.0001,20,500,128
n_layer4_n_head4_n_embd16_lr5e-05_patience20_max_iters500_batch_size64,0.009947629063390195,4,4,16,5e-05,20,500,64
n_layer4_n_head4_n_embd16_lr5e-05_patience20_max_iters500_batch_size128,0.010169541463255882,4,4,16,5e-05,20,500,128
n_layer4_n_head4_n_embd16_lr1e-05_patience20_max_iters500_batch_size64,0.010806001257151365,4,4,16,1e-05,20,500,64
n_layer4_n_head4_n_embd16_lr1e-05_patience20_max_iters500_batch_size128,0.011376474751159549,4,4,16,1e-05,20,500,128
n_layer4_n_head4_n_embd32_lr0.0001_patience20_max_iters500_batch_size64,0.00983794976491481,4,4,32,0.0001,20,500,64
n_layer4_n_head4_n_embd32_lr0.0001_patience20_max_iters500_batch_size128,0.01025978266261518,4,4,32,0.0001,20,500,128
n_layer4_n_head4_n_embd32_lr5e-05_patience20_max_iters500_batch_size64,0.010335783241316676,4,4,32,5e-05,20,500,64
n_layer4_n_head4_n_embd32_lr5e-05_patience20_max_iters500_batch_size128,0.01035542250610888,4,4,32,5e-05,20,500,128
n_layer4_n_head4_n_embd32_lr1e-05_patience20_max_iters500_batch_size64,0.012167078093625605,4,4,32,1e-05,20,500,64
n_layer4_n_head4_n_embd32_lr1e-05_patience20_max_iters500_batch_size128,0.01362378871999681,4,4,32,1e-05,20,500,128
n_layer8_n_head2_n_embd16_lr0.0001_patience20_max_iters500_batch_size64,0.009636547300033271,8,2,16,0.0001,20,500,64
n_layer8_n_head2_n_embd16_lr0.0001_patience20_max_iters500_batch_size128,0.00986625999212265,8,2,16,0.0001,20,500,128
n_layer8_n_head2_n_embd16_lr5e-05_patience20_max_iters500_batch_size64,0.009880535653792322,8,2,16,5e-05,20,500,64
n_layer8_n_head2_n_embd16_lr5e-05_patience20_max_iters500_batch_size128,0.010345504386350513,8,2,16,5e-05,20,500,128
n_layer8_n_head2_n_embd16_lr1e-05_patience20_max_iters500_batch_size64,0.010415259515866637,8,2,16,1e-05,20,500,64
n_layer8_n_head2_n_embd16_lr1e-05_patience20_max_iters500_batch_size128,0.025676026474684477,8,2,16,1e-05,20,500,128
n_layer8_n_head2_n_embd32_lr0.0001_patience20_max_iters500_batch_size64,0.00966601399704814,8,2,32,0.0001,20,500,64
n_layer8_n_head2_n_embd32_lr0.0001_patience20_max_iters500_batch_size128,0.009774154517799616,8,2,32,0.0001,20,500,128
n_layer8_n_head2_n_embd32_lr5e-05_patience20_max_iters500_batch_size64,0.009795547928661108,8,2,32,5e-05,20,500,64
n_layer8_n_head2_n_embd32_lr5e-05_patience20_max_iters500_batch_size128,0.010149328969419003,8,2,32,5e-05,20,500,128
n_layer8_n_head2_n_embd32_lr1e-05_patience20_max_iters500_batch_size64,0.010714184958487749,8,2,32,1e-05,20,500,64
n_layer8_n_head2_n_embd32_lr1e-05_patience20_max_iters500_batch_size128,0.010173844639211893,8,2,32,1e-05,20,500,128
n_layer8_n_head4_n_embd16_lr0.0001_patience20_max_iters500_batch_size64,0.009636585251428187,8,4,16,0.0001,20,500,64
n_layer8_n_head4_n_embd16_lr0.0001_patience20_max_iters500_batch_size128,0.009866257896646857,8,4,16,0.0001,20,500,128
n_layer8_n_head4_n_embd16_lr5e-05_patience20_max_iters500_batch_size64,0.00988051958847791,8,4,16,5e-05,20,500,64
n_layer8_n_head4_n_embd16_lr5e-05_patience20_max_iters500_batch_size128,0.0103454003110528,8,4,16,5e-05,20,500,128
n_layer8_n_head4_n_embd16_lr1e-05_patience20_max_iters500_batch_size64,0.010415167547762394,8,4,16,1e-05,20,500,64
n_layer8_n_head4_n_embd16_lr1e-05_patience20_max_iters500_batch_size128,0.02567719016224146,8,4,16,1e-05,20,500,128
n_layer8_n_head4_n_embd32_lr0.0001_patience20_max_iters500_batch_size64,0.00966600829269737,8,4,32,0.0001,20,500,64
n_layer8_n_head4_n_embd32_lr0.0001_patience20_max_iters500_batch_size128,0.009774465346708894,8,4,32,0.0001,20,500,128
n_layer8_n_head4_n_embd32_lr5e-05_patience20_max_iters500_batch_size64,0.009795679827220738,8,4,32,5e-05,20,500,64
n_layer8_n_head4_n_embd32_lr5e-05_patience20_max_iters500_batch_size128,0.010149977635592222,8,4,32,5e-05,20,500,128
n_layer8_n_head4_n_embd32_lr1e-05_patience20_max_iters500_batch_size64,0.010715238517150283,8,4,32,1e-05,20,500,64
n_layer8_n_head4_n_embd32_lr1e-05_patience20_max_iters500_batch_size128,0.01017463393509388,8,4,32,1e-05,20,500,128
